Case ID,Economic Position,Occupation Type ,Home,Gender,Region,Adults,Children,Household,Jan Income,Feb Income,Mar Income,Apr Income,May Income,Jun Income,Jan Expenditure,Feb Expenditure,Mar Expenditure,Apr Expenditure,May Expenditure,Jun Expenditure
1,Full-time working,Routine or manual,Owned,Male,Scotland,3,1,4,5384.35,4738.23,5492.04,6138.16,5061.29,4307.48,3500.02,3850.02,3619.02,3401.88,3742.07,3218.18
2,Full-time working,Intermediate occupation,Owned,Male,North West and Merseyside,2,1,3,3318.35,3351.53,3318.35,3318.35,3318.35,3318.35,2132.55,1642.06,1674.9,1725.15,1880.41,1654.76
3,Full-time working,Managerial or Professional,Owned,Female,Wales,1,3,4,5674.6,7093.25,6525.79,6752.77,4766.66,7036.5,4670.78,4997.73,5097.68,5250.61,5198.1,4886.21
4,Full-time working,Intermediate occupation,Rented,Male,North West and Merseyside,2,1,3,3910.2,3949.3,3949.3,3949.3,3949.3,3910.2,2412.35,1929.88,2103.57,2145.64,2124.18,2039.21
5,Training Program,Routine or manual,Rented,Female,South East,1,3,4,1076.9,1292.28,1033.82,1098.44,1130.75,1184.59,778.08,614.68,645.41,748.68,703.76,689.68
6,Full-time working,Intermediate occupation,Owned,Male,Wales,1,1,2,4291.13,3261.26,4248.21,3604.55,5106.44,3604.55,1223.19,1039.71,1174.87,1116.13,1038,1100.28
7,Economically Inactive,Not Classified,Owned,Female,North West and Merseyside,1,1,2,1233.91,1147.54,1443.67,1344.96,1024.15,937.77,822.51,814.28,749.14,704.19,739.4,702.43
8,Full-time working,Managerial or Professional,Owned,Male,Wales,4,1,5,5924.95,6754.44,4976.96,5806.45,6339.7,6932.19,2548.21,2624.66,2230.96,2587.91,2769.06,2492.15
9,Economically Inactive,Managerial or Professional,Owned,Female,North West and Merseyside,1,1,2,685.71,514.28,809.14,617.14,809.14,706.28,2245.74,1863.96,2031.72,1950.45,1774.91,2023.4
10,Part-time working,Routine or manual,Rented,Female,North West and Merseyside,1,1,2,1009.65,1241.87,1019.75,797.62,888.49,817.82,1207.13,1013.99,993.71,953.96,829.95,746.96
11,Full-time working,Managerial or Professional,Owned,Male,Wales,2,2,4,5924,5924,5924,5924,5924,5924,2803.57,2242.86,2512,2361.28,2219.6,2596.93
12,Part-time working,Routine or manual,Rented,Female,London,1,3,4,1488,1681.44,1175.52,1621.92,1130.88,1473.12,700.83,665.79,665.79,772.32,826.38,801.59
13,Economically Inactive,Routine or manual,Rented,Female,South East,1,2,3,905.15,1077.13,769.38,841.79,678.86,1077.13,603.3,663.63,769.81,785.21,824.47,816.23
14,Full-time working,Intermediate occupation,Owned,Female,Scotland,2,1,3,4211.9,4590.97,4675.21,3874.95,4001.31,5138.52,3344.88,3645.92,3974.05,4570.16,4615.86,4338.91
15,Part-time working,Routine or manual,Rented,Female,Eastern,2,1,3,1198.5,1006.74,1426.22,982.77,1414.23,922.85,893.58,723.8,803.42,707.01,834.27,834.27
16,Full-time working,Intermediate occupation,Owned,Male,East Midlands,2,3,5,5924.95,6576.69,4502.96,6517.45,6458.2,6635.94,3674.34,3490.62,3281.18,3510.86,3861.95,3977.81
17,Full-time working,Routine or manual,Rented,Male,London,2,3,5,2491.95,2516.87,2516.87,2516.87,2491.95,2516.87,2195.69,2415.26,2342.8,2319.37,2319.37,2690.47
18,Economically Inactive,Not Classified,Owned,Female,Wales,1,1,2,1670.74,2021.59,1570.49,1821.1,2071.71,2071.71,1984.28,1885.07,1941.62,1825.12,1733.86,1681.84
19,Part-time working,Routine or manual,Rented,Female,North East,1,2,3,2346.85,1947.89,1900.95,2041.76,2886.63,1760.14,1297.26,1206.45,1182.32,1312.38,1246.76,1221.82
20,Economically Inactive,Not Classified,Owned,Female,London,1,1,2,2154.5,1831.33,2585.4,1658.97,2348.41,1637.42,787.85,646.04,549.13,642.48,738.85,797.96
21,Full-time working,Managerial or Professional,Owned,Female,South East,1,1,2,2907.2,2907.2,2907.2,2936.27,2907.2,2936.27,1679.48,1780.25,1993.88,1874.25,1630.6,1402.32
22,Full-time working,Managerial or Professional,Rented,Male,North West and Merseyside,1,1,2,2028.95,2049.24,2049.24,2049.24,2049.24,2049.24,988.75,1067.85,1089.21,1045.64,1108.38,1263.55
23,Economically Inactive,Not Classified,Owned,Male,South East,2,1,3,1409.05,1254.05,1070.88,1310.42,1564.05,1747.22,2472.22,2027.22,1905.59,1867.48,1774.11,1969.26
24,Full-time working,Managerial or Professional,Owned,Male,Eastern,2,1,3,2500,2500,2525,2525,2525,2525,4653.15,4792.74,4696.89,5401.42,6427.69,5527.81
25,Economically Inactive,Not Classified,Owned,Female,North West and Merseyside,1,1,2,2128.19,1979.21,1957.93,1979.21,1638.7,1702.55,1242.35,956.61,813.12,813.12,967.61,1074.05
26,Economically Inactive,Not Classified,Owned,Male,Eastern,1,1,2,1808.05,1952.69,1862.29,1554.92,1627.24,1988.85,448.7,475.62,485.13,465.72,498.32,503.3
27,Full-time working,Managerial or Professional,Owned,Male,South East,1,1,2,5924.95,6221.2,4858.46,7169.19,5154.71,4917.71,2646.59,2514.26,2715.4,2389.55,2580.71,2709.75
28,Full-time working,Managerial or Professional,Owned,Male,South East,1,1,2,5924.95,6221.2,4858.46,7169.19,5154.71,4917.71,2646.59,2514.26,2715.4,2389.55,2580.71,2709.75
29,Training Program,Routine or manual,Owned,Female,Northern Ireland,2,1,3,710,603.5,717.1,631.9,610.6,610.6,728.8,641.34,756.78,711.37,661.57,628.49
30,Part-time working,Intermediate occupation,Owned,Female,Eastern,2,1,3,1346.2,1575.05,1521.21,1009.65,1480.82,1682.75,1236.45,1149.9,988.91,1077.91,948.56,1138.27
31,Full-time working,Intermediate occupation,Rented,Female,North East,4,1,5,5450.55,6486.15,6213.63,5123.52,5450.55,5178.02,3143.74,2735.05,2953.85,3544.62,4182.65,3889.86
32,Economically Inactive,Managerial or Professional,Owned,Male,Scotland,2,1,3,2807.38,2835.45,2863.52,2273.97,2105.53,3340.78,2638.65,2031.76,2214.62,2214.62,2591.11,2876.13
33,Full-time working,Managerial or Professional,Owned,Male,South West,1,1,2,2587.8,2587.8,2613.68,2587.8,2587.8,2587.8,1717.63,1889.39,2210.59,2431.65,2577.55,2989.96
34,Full-time working,Intermediate occupation,Owned,Male,South East,2,1,3,4726.55,5671.86,3733.97,5104.67,3544.91,4632.02,3181.6,2386.2,2123.72,2208.67,2628.32,2365.49
35,Economically Inactive,Not Classified,Owned,Male,Northern Ireland,1,1,2,2228.95,2072.92,2719.32,2162.08,2630.16,1760.87,1870.8,1683.72,1448,1303.2,1511.71,1481.48
36,Economically Inactive,Not Classified,Rented,Female,London,2,1,3,2686.65,3143.38,3116.51,2606.05,2337.39,3331.45,1896.53,1593.09,1832.05,1575.56,1465.27,1509.23
